,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MA_5,MA_20,Above_MA5,Above_MA20,Price_Change,Volume_MA,High_Volume,RSI_Overbought,RSI_Oversold,Tomorrow_Up,Tomorrow_Change
2025-07-28,2415.1,2448.0,2412.5,2442.25,15955.0,,,,0.0,0.0,,,0,0,,,0,0,0,0,
2025-07-25,2430.0,2430.0,2406.0,2415.1,23862.0,,,,-0.6091346153843915,-0.3384081196579953,,,0,0,-1.1116798034599307,,0,0,0,1,0.8943729038135118
2025-07-24,2451.75,2464.95,2420.4,2436.7,42475.0,,,,-0.1063436976764933,-0.2432997499934452,,,0,0,0.8943729038135118,,0,0,0,1,0.6012229654861034
2025-07-23,2480.75,2484.0,2441.25,2451.35,26278.0,,,,0.6538743523792618,0.060621016392973,,,0,0,0.6012229654861034,,0,0,0,1,1.1993391396577513
2025-07-22,2474.15,2484.45,2454.0,2480.75,8194.0,,,,2.223093430542576,0.7039076698168197,2445.23,,1,0,1.1993391396577513,,0,0,0,0,-0.6469817595485261
2025-07-21,2490.95,2492.85,2456.9,2464.7,30541.0,,,,2.4383127444857564,1.174027876108816,2449.72,,1,0,-0.6469817595485261,,0,0,0,1,0.9818598612407303
2025-07-18,2510.0,2512.3501,2481.1001,2488.8999,33193.0,,,,3.6306321488659705,1.7957288813052097,2464.4799799999996,,1,0,0.9818598612407303,,0,0,0,1,0.8598216424855032
2025-07-17,2510.6499,2525.0,2506.6001,2510.3,17694.0,,,,5.389527831840951,2.6593863505231923,2479.1999800000003,,1,0,0.8598216424855032,,0,0,0,1,0.25295383021948226
2025-07-16,2526.3,2533.3501,2508.25,2516.6499,13585.0,,,,6.840567706118236,3.625259986613316,2492.2599600000003,,1,0,0.25295383021948226,,0,0,0,1,0.3834502367611847
2025-07-15,2512.1001,2529.8999,2510.75,2526.3,28431.0,,,,8.267444287141643,4.665378748360484,2501.36996,,1,0,0.3834502367611847,,0,0,0,0,-0.39781498634366974
2025-07-14,2500.0,2532.1001,2492.6001,2516.25,335646.0,,,,8.647164338409766,5.536570683794939,2511.67996,,1,0,-0.39781498634366974,,0,0,0,1,0.1530094386487768
2025-07-11,2460.0,2530.0,2460.0,2520.1001,443416.0,,,,9.019402783146688,6.2845369543972565,2517.92,,1,0,0.1530094386487768,,0,0,0,0,-4.406574961050158
2025-07-10,2422.6499,2430.8999,2398.6499,2409.05,22387.0,,,,2.9028019059001053,5.568844326376719,2497.67,,0,0,-4.406574961050158,,0,0,0,1,0.5645337373653359
