,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MA_5,MA_20,Above_MA5,Above_MA20,Price_Change,Volume_MA,High_Volume,RSI_Overbought,RSI_Oversold,Tomorrow_Up,Tomorrow_Change
2025-07-28,1474.2,1493.6,1474.2,1488.65,214482.0,,,,0.0,0.0,,,0,0,,,0,0,0,0,
2025-07-25,1489.4,1493.7,1473.7,1476.6,139875.0,,,,-0.2703525641027227,-0.150195868945957,,,0,0,-0.8094582339703837,,0,0,0,1,0.41311120140865576
2025-07-24,1488.5,1488.5,1476.8,1482.7,149203.0,,,,-0.155322193096481,-0.1522968214666635,,,0,0,0.41311120140865576,,0,0,0,1,0.34059486072703926
2025-07-23,1482.0,1489.95,1472.5,1487.75,1250566.0,,,,0.0831307538194323,-0.0725449328196121,,,0,0,0.34059486072703926,,0,0,0,0,-0.9544614350529335
2025-07-22,1471.15,1482.0,1470.15,1473.55,1748643.0,,,,-0.3540982733768487,-0.1563006861981332,1481.85,,0,0,-0.9544614350529335,,0,0,0,0,-0.5225475891554421
2025-07-21,1440.65,1467.6,1436.35,1465.85,672553.0,,,,-0.9395328521634384,-0.3686001500407543,1477.2900000000002,,0,0,-0.5225475891554421,,0,0,0,0,-2.68444929563052
2025-07-18,1417.0,1428.65,1408.35,1426.5,252066.0,,,,-3.0814159342910443,-1.0551414536949026,1467.27,,0,0,-2.68444929563052,,0,0,0,0,-0.522257273045923
2025-07-17,1420.95,1421.0,1409.3,1419.05,1383862.0,,,,-4.822389795496974,-1.9604820733507105,1454.54,,0,0,-0.522257273045923,,0,0,0,1,0.4228180825200045
2025-07-16,1423.05,1429.15,1419.0,1425.05,618589.0,,,,-5.656924899280057,-2.8143787042878112,1442.0,,0,0,0.4228180825200045,,0,0,0,1,0.4491070488754856
2025-07-15,1422.0,1433.8,1419.9,1431.45,1004368.0,,,,-5.836960073315368,-3.49161239155766,1433.58,,0,0,0.4491070488754856,,0,0,0,0,-0.6077753327046076
2025-07-14,1424.0,1424.7,1416.0,1422.75,1956057.0,,,,-6.348695248201693,-4.116725795402568,1424.9599999999998,,0,0,-0.6077753327046076,,0,0,0,0,-0.03865752943242873
2025-07-11,1423.6,1427.95,1414.55,1422.2,306304.0,,,,-6.667713121369616,-4.664570888742696,1424.1,,0,0,-0.03865752943242873,,0,0,0,1,0.16172127689495497
2025-07-10,1433.0,1438.65,1422.25,1424.5,182834.0,,,,-6.685932675749427,-5.092361271128223,1425.19,,0,0,0.16172127689495497,,0,0,0,1,0.5265005265005174
2025-07-09,1439.95,1439.95,1426.6,1432.0,189258.0,,,27.036886907174747,-6.178062661930198,-5.3194908121429005,1426.58,,1,0,0.5265005265005174,,0,0,1,1,0.7087988826815605
2025-07-08,1437.95,1445.4,1430.5,1442.15,780989.0,,,32.584269662921415,-5.113908738951295,-5.276874986436036,1428.72,,1,0,0.7087988826815605,,0,0,0,0,-0.45765003640398927
2025-07-07,1439.65,1440.45,1429.55,1435.55,124398.0,,,33.97110503709496,-4.642446865246484,-5.1463144086386405,1431.2800000000002,,1,0,-0.45765003640398927,,0,0,0,1,0.49458395736825533
2025-07-04,1426.0,1444.0,1421.1,1442.65,332715.0,,,34.48275862068972,-3.7858987602865,-4.867963370817157,1435.3700000000001,,1,0,0.49458395736825533,,0,0,0,0,-1.1402627109832641
2025-07-03,1431.3,1446.4,1424.15,1426.2,199977.0,,,28.08828764684951,-4.120615107027561,-4.715751716663528,1435.7100000000003,,0,0,-1.1402627109832641,,0,0,1,1,0.13672696676483298
2025-07-02,1434.05,1451.0,1422.65,1428.15,369686.0,,,32.293291731669385,-4.202637700301693,-4.611628337351903,1434.94,,0,0,0.13672696676483298,,0,0,0,1,0.2695795259601619
