,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MA_5,MA_20,Above_MA5,Above_MA20,Price_Change,Volume_MA,High_Volume,RSI_Overbought,RSI_Oversold,Tomorrow_Up,Tomorrow_Change
2025-07-28,1518.95,1519.35,1482.7,1516.1,287153.0,,,,0.0,0.0,,,0,0,,,0,0,0,0,
2025-07-25,1543.0,1549.75,1511.35,1515.6,463200.0,,,,-0.0112179487180128,-0.0062321937322293,,,0,0,-0.03297935492381221,,0,0,0,1,2.5039588281868586
2025-07-24,1581.0,1581.0,1548.2,1553.55,380211.0,,,,1.162533335913167,0.472770072515884,,,0,0,2.5039588281868586,,0,0,0,1,1.3420874770686542
2025-07-23,1579.8,1592.4,1551.0,1574.4,239856.0,,,,2.420668998069459,1.1326274321207537,,,0,0,1.3420874770686542,,0,0,0,0,-0.27311991869919394
2025-07-22,1579.95,1585.6,1567.0,1570.1,571499.0,,,,2.882253026377384,1.653101490383673,1545.95,,1,0,-0.27311991869919394,,0,0,0,1,0.9235080568116727
2025-07-21,1579.15,1589.0,1568.25,1584.6,120472.0,,,,3.725579340799186,2.2148582153857093,1559.6499999999999,,1,0,0.9235080568116727,,0,0,0,1,0.12305944717909689
2025-07-18,1588.05,1599.0,1579.9,1586.55,369627.0,,,,4.290579200536968,2.7401678215305467,1573.84,,1,0,0.12305944717909689,,0,0,0,0,-0.2426649018310134
2025-07-17,1608.55,1609.75,1580.5,1582.7,159573.0,,,,4.417336876642139,3.1432230846449345,1579.6699999999998,,1,0,-0.2426649018310134,,0,0,0,1,1.6364440513047196
2025-07-16,1580.0,1612.1,1579.8,1608.6,60718.0,,,,5.722895795667228,3.739140278713397,1586.51,,1,0,1.6364440513047196,,0,0,0,0,-1.4795474325500435
2025-07-15,1565.0,1603.8,1565.0,1584.8,896680.0,,,,5.33984023873586,4.097789990263588,1589.45,,0,0,-1.4795474325500435,,0,0,0,0,-0.9054770318021155
2025-07-14,1589.2,1593.95,1560.0,1570.45,1462073.0,,,,4.223646890137388,4.1253267608176944,1586.6200000000001,,0,0,-0.9054770318021155,,0,0,0,1,1.5568786016746827
2025-07-11,1579.0,1606.95,1563.25,1594.9,360567.0,,,,4.690909962357182,4.246790312864762,1588.29,,1,0,1.5568786016746827,,0,0,0,1,1.3699918490187368
2025-07-10,1637.0,1637.0,1607.55,1616.75,771970.0,,,,6.209484578627325,4.662164609466943,1595.1,,1,0,1.3699918490187368,,0,0,0,1,1.060770063398797
2025-07-09,1638.65,1638.65,1624.0,1633.9,400089.0,,,77.86187322611167,8.259457999309689,5.41472107061929,1600.16,,1,0,1.060770063398797,,0,1,0,1,0.2907154660627853
2025-07-08,1628.2,1646.9,1621.1,1638.65,549019.0,,,78.34836918806387,9.98193574570496,6.361474946274003,1610.9299999999998,,1,0,0.2907154660627853,,0,1,0,0,-0.6804381655631242
2025-07-07,1640.0,1642.4,1623.05,1627.5,173344.0,,,74.66931216931216,10.487235335608377,7.210525677624172,1622.34,,1,0,-0.6804381655631242,,0,1,0,1,0.7803379416282619
2025-07-04,1628.15,1643.4,1612.4,1640.2,274445.0,,,71.49590672289754,11.528384778348482,8.093991376735598,1631.4,,1,0,0.7803379416282619,,0,1,0,0,-1.3443482502133897
2025-07-03,1610.0,1632.0,1610.0,1618.15,95119.0,,,60.78914919852034,10.793962511720563,8.643891727797119,1631.68,,0,0,-1.3443482502133897,,0,0,0,0,-0.5098414856471889
2025-07-02,1616.6,1649.0,1604.0,1609.9,466445.0,,,59.62747943880024,9.569035091142268,8.831625935531743,1626.8799999999999,,0,0,-0.5098414856471889,,0,0,0,0,-0.10870240387601537
2025-07-01,1601.3,1617.0,1600.9,1608.15,461917.0,1591.7775,,56.07115235885543,8.39538106227974,8.743359316043877,1620.7800000000002,1591.7775,0,1,-0.10870240387601537,428198.85,1,0,0,0,-0.42595529024034295
2025-06-30,1609.3,1614.95,1594.25,1601.3,187993.0,1596.0375,,53.7088257480513,6.934770691811991,8.378274276048533,1615.5400000000002,1596.0375,0,1,-0.42595529024034295,423240.85,0,0,0,1,0.45587959782675824
