,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MA_5,MA_20,Above_MA5,Above_MA20,Price_Change,Volume_MA,High_Volume,RSI_Overbought,RSI_Oversold,Tomorrow_Up,Tomorrow_Change
2025-07-28,410.5,410.9,408.6,409.8,247955.0,,,,0.0,0.0,,,0,0,,,0,0,0,0,
2025-07-25,412.6,412.6,407.75,409.35,386335.0,,,,-0.0100961538461206,-0.0056089743589558,,,0,0,-0.10980966325035979,,0,0,0,1,0.15878832295102008
2025-07-24,415.6,416.0,409.5,410.0,430499.0,,,,0.0072919571525176,-0.0003217073460569,,,0,0,0.15878832295102008,,0,0,0,1,1.2073170731707217
2025-07-23,416.3,417.9,414.05,414.95,504355.0,,,,0.1937395681916882,0.065417207131499,,,0,0,1.2073170731707217,,0,0,0,1,0.27714182431619605
2025-07-22,420.5,420.5,415.3,416.1,292939.0,,,,0.3367348522630777,0.1461280725323732,412.03999999999996,,1,0,0.27714182431619605,,0,0,0,1,0.9733237202595335
2025-07-21,421.4,422.5,418.55,420.15,564080.0,,,,0.5895452860543173,0.2663187909169751,414.11,,1,0,0.9733237202595335,,0,0,0,1,0.5950255861002063
2025-07-18,425.5,425.5,420.1,422.65,154249.0,,,,0.854774580584035,0.4152412527097515,416.77,,1,0,0.5950255861002063,,0,0,0,1,0.2720927481367541
2025-07-17,425.5,425.75,423.0,423.8,129602.0,,,,1.0735691053890264,0.5734498155665949,419.53000000000003,,1,0,0.2720927481367541,,0,0,0,1,0.15337423312882237
2025-07-16,422.0,425.4,420.1,424.45,444356.0,,,,1.2409942537395864,0.727655892489591,421.43,,1,0,0.15337423312882237,,0,0,0,0,-0.5418777241135597
2025-07-15,421.0,422.6,419.1,422.15,193747.0,,,,1.2232346129150642,0.8386942941701371,422.64,,0,0,-0.5418777241135597,,0,0,0,0,-0.675115480279509
2025-07-14,417.45,419.9,416.35,419.3,1081025.0,,,,1.0414109751162073,0.8830475456509808,422.46999999999997,,0,0,-0.675115480279509,,0,0,0,0,-0.5366086334366749
2025-07-11,417.0,418.05,415.5,417.05,581803.0,,,,0.7703441419683941,0.8588435811382089,421.35,,0,0,-0.5366086334366749,,0,0,0,0,-0.03596691044239764
2025-07-10,420.5,420.5,416.2,416.9,598891.0,,,,0.5506214800234375,0.7936130759693092,419.96999999999997,,0,0,-0.03596691044239764,,0,0,0,1,0.5876709042936135
2025-07-09,417.05,420.3,415.5,419.35,156953.0,,,68.68884540117419,0.5209973355534885,0.7365816596714226,418.95,,1,0,0.5876709042936135,,0,0,0,0,-0.5484678669369303
2025-07-08,416.0,417.9,414.7,417.05,772498.0,,,63.016157989228,0.3555231322858958,0.657590707128392,417.93,,0,0,-0.5484678669369303,,0,0,0,0,-0.21580146265436362
2025-07-07,412.55,417.1,412.1,416.15,650619.0,,,62.01413427561827,0.1709090869169927,0.5574352578096688,417.3,,0,0,-0.21580146265436362,,0,0,0,0,-0.8650726901357597
2025-07-04,415.45,415.45,411.9,412.55,617924.0,,,54.08000000000001,-0.1947902113942063,0.4035243995493465,416.4,,0,0,-0.8650726901357597,,0,0,0,1,0.24239486122894505
2025-07-03,413.6,415.7,411.3,413.55,484352.0,,,47.43589743589748,-0.4094156042835948,0.2379537429940954,415.73,,0,0,0.24239486122894505,,0,0,0,0,-0.15717567404184285
2025-07-02,416.55,416.9,411.5,412.9,627668.0,,,44.029850746268586,-0.6110741735112697,0.0656652204094628,414.43999999999994,,0,0,-0.15717567404184285,,0,0,0,1,0.5570356018406386
2025-07-01,417.9,418.85,414.7,415.2,855540.0,416.67,,40.11976047904199,-0.6092039591321168,-0.0708829082381698,414.07,416.66999999999996,1,0,0.5570356018406386,488769.5,1,0,0,1,0.3131021194604955
2025-06-30,419.95,420.6,415.85,416.5,272801.0,417.005,,37.10691823899383,-0.5144503465448906,-0.1604222505657364,414.14,417.005,1,0,0.3131021194604955,490011.8,0,0,0,1,0.588235294117645
2025-06-27,420.4,422.0,417.75,418.95,1066689.0,417.485,,40.35785288270377,-0.2706243361890301,-0.1826265061786506,415.41999999999996,417.485,1,1,0.588235294117645,524029.5,1,0,0,1,0.3341687552213868
2025-06-26,416.8,420.9,416.3,420.35,203703.0,418.00250000000005,,42.0849420849422,0.0167957148601658,-0.1425052277452325,416.78000000000003,418.00250000000005,1,1,0.3341687552213868,512689.7,0,0,0,0,-0.9515879624122703
2025-06-25,416.0,418.1,415.3,416.35,147507.0,418.07249999999993,,39.49275362318854,-0.0351573481476066,-0.1209337835607032,417.46999999999997,418.07249999999993,0,0,-0.9515879624122703,494847.3,0,0,0,0,-0.5043833313318147
2025-06-24,416.25,420.5,413.75,414.25,1320127.0,417.98,,40.59590316573561,-0.2211062859976209,-0.1410442592772695,417.28000000000003,417.98,0,0,-0.5043833313318147,546206.7,1,0,0,1,0.08449004224502232
2025-06-23,416.05,417.45,412.15,414.6,225882.0,417.7025,,45.09018036072151,-0.3386911490698026,-0.1806934696210559,416.9,417.7025,0,0,0.08449004224502232,529296.8,0,0,0,1,0.9286058851905477
2025-06-20,416.0,419.9,416.0,418.45,697927.0,417.4925,,52.70506108202444,-0.1534526566838394,-0.1752321022575804,416.8,417.4925,1,1,0.9286058851905477,556480.7,1,0,0,0,-0.5854940853148527
2025-06-19,416.15,418.2,414.85,416.0,132694.0,417.1025,,44.153577661431044,-0.1824144805046899,-0.1766713618399146,415.93,417.10249999999996,1,0,-0.5854940853148527,556635.3,0,0,0,0,-0.048076923076922906
