,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MA_5,MA_20,Above_MA5,Above_MA20,Price_Change,Volume_MA,High_Volume,RSI_Overbought,RSI_Oversold,Tomorrow_Up,Tomorrow_Change
2025-07-28,2023.0,2056.05,1960.1,1965.6,363208.0,,,,0.0,0.0,,,0,0,,,0,0,0,1,
2025-07-25,2144.8999,2146.05,2118.3501,2124.95,57475.0,,,,3.575160256410527,1.9862001424502929,,,0,0,8.106939356939357,,0,0,0,1,0.776488858561386
2025-07-24,2169.6001,2169.6001,2140.0,2141.45,383282.0,,,,5.06712780161115,3.248875412598185,,,0,0,0.776488858561386,,0,0,0,1,1.3238693408671898
2025-07-23,2160.0,2179.6001,2158.0,2169.8,149541.0,,,,6.64508740353449,4.3993537293110245,,,0,0,1.3238693408671898,,0,0,0,0,-0.45395889022031843
2025-07-22,2165.0,2171.8501,2145.6001,2159.95,24404.0,,,,6.97067706306143,5.164264287899318,2112.35,,1,0,-0.45395889022031843,,0,0,0,1,0.21759299983796776
2025-07-21,2140.75,2167.55,2131.5,2164.6499,36194.0,,,,7.236345524789158,5.725913508584611,2152.1599799999995,,1,0,0.21759299983796776,,0,0,0,0,-1.1041000209779828
2025-07-18,2171.1001,2171.1001,2130.7,2140.75,43957.0,,,,6.199372020245846,5.845733227162328,2155.31998,,0,0,-1.1041000209779828,,0,0,0,1,1.4574331425902143
2025-07-17,2182.0,2190.0,2168.2,2171.95,117379.0,,,,6.888237814488548,6.096266683799929,2161.4199799999997,,1,0,1.4574331425902143,,0,0,0,1,0.3176868712447378
2025-07-16,2188.05,2188.9,2156.65,2178.85,34214.0,,,,7.602791062978213,6.4442812892960974,2163.22998,,1,0,0.3176868712447378,,0,0,0,1,0.4314202446244586
2025-07-15,2210.15,2232.45,2182.4,2188.25,39876.0,,,,8.483251819854559,6.901129050218056,2168.88998,,1,0,0.4314202446244586,,0,0,0,1,0.6877641951331004
2025-07-14,2229.05,2229.05,2198.0,2203.3,259348.0,,,,9.802313446709377,7.535891618988172,2176.62,,1,0,0.6877641951331004,,0,0,0,1,0.7488766849725437
2025-07-11,2199.4,2225.0,2199.4,2219.8,97222.0,,,,11.542385653327074,8.39631851169215,2192.43,,1,0,0.7488766849725437,,0,0,0,0,-0.04054419317055524
2025-07-10,2228.0,2241.95,2198.6,2218.9,143697.0,,,,12.628916497434602,9.29208329879948,2201.82,,1,0,-0.04054419317055524,,0,0,0,1,0.4258867006174061
2025-07-09,2213.6,2233.2,2213.6,2228.35,72443.0,,,89.56484840526925,13.825861860093482,10.240553156545763,2211.7200000000003,,1,0,0.4258867006174061,,0,1,0,0,-0.1727735768617955
2025-07-08,2201.0,2241.0,2186.2,2224.5,580153.0,,,88.53827837944525,14.323668351964898,11.08695636090909,2218.9700000000003,,1,0,-0.1727735768617955,,0,1,0,0,-3.4839289728028744
2025-07-07,2128.45,2157.5,2123.2,2147.0,198295.0,,,54.339700326471444,9.82101851354946,10.826435789253216,2207.71,,0,0,-3.4839289728028744,,0,0,0,0,-0.866325104797383
2025-07-04,2126.4,2136.5,2111.25,2128.4,286734.0,,,47.45266246547924,5.114189638763492,9.657668253973426,2189.43,,0,0,-0.866325104797383,,0,0,0,0,-0.10101484683330275
2025-07-03,2159.95,2159.95,2122.0,2126.25,38962.0,,,40.53054188348933,1.3111795349004751,7.957747459533237,2170.9,,0,0,-0.10101484683330275,,0,0,0,1,1.9517930629041835
2025-07-02,2177.05,2196.0,2161.0,2167.75,201669.0,,,51.49082682784929,1.034757687000365,6.552903570903959,2158.7799999999997,,1,0,1.9517930629041835,,0,0,0,1,0.7403990312536024
2025-07-01,2163.1,2186.6,2159.05,2183.8,292939.0,2162.712495,,53.50798809598397,1.8554284824090248,5.602450576238292,2150.6400000000003,2162.712495,1,1,0.7403990312536024,171049.6,1,0,0,0,-0.922703544280612
2025-06-30,2207.0,2207.0,2155.0,2163.65,83819.0,2172.614995,,54.25334323922735,1.13415349544357,4.700471874948029,2153.9700000000003,2172.614995,1,0,-0.922703544280612,157080.15,0,0,0,1,2.0497769972037894
2025-06-27,2205.05,2216.8,2183.0,2208.0,265358.0,2176.767495,,56.38392066584029,3.537053914592434,4.466058618336028,2169.8900000000003,2176.7674949999996,1,1,2.0497769972037894,167474.3,1,0,0,0,-0.18115942028985588
2025-06-26,2208.65,2208.65,2180.0,2204.0,62579.0,2179.894995,,54.49991053855789,5.086932613226963,4.590970768503281,2185.44,2179.8949949999997,1,1,-0.18115942028985588,151439.15,0,0,0,0,-0.26996370235934375
