,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MA_5,MA_20,Above_MA5,Above_MA20,Price_Change,Volume_MA,High_Volume,RSI_Overbought,RSI_Oversold,Tomorrow_Up,Tomorrow_Change
2025-07-28,1392.1,1407.1,1385.0,1387.3,534884.0,,,,0.0,0.0,,,0,0,,,0,0,0,1,
2025-07-25,1401.95,1401.95,1384.5,1392.1,385434.0,,,,0.1076923076921048,0.0598290598289471,,,0,0,0.3459958192171708,,0,0,0,1,0.7578478557574986
2025-07-24,1420.0,1422.05,1396.45,1402.65,332776.0,,,,0.4643762442274237,0.2256270862217653,,,0,0,0.7578478557574986,,0,0,0,1,1.5577656578618981
2025-07-23,1426.9,1426.9,1414.85,1424.5,462898.0,,,,1.404108335879755,0.624841601688564,,,0,0,1.5577656578618981,,0,0,0,0,-0.8213408213408213
2025-07-22,1433.2,1433.2,1410.45,1412.8,1522399.0,,,,1.4196147567868138,0.8612686468748592,1403.8700000000001,,1,0,-0.8213408213408213,,0,0,0,1,1.0900339750849364
2025-07-21,1474.95,1474.95,1423.05,1428.2,1557147.0,,,,2.060765197746832,1.1863989028792756,1412.05,,1,0,1.0900339750849364,,0,0,0,1,3.4063856602716713
2025-07-18,1482.1,1485.05,1469.0,1476.85,357136.0,,,,4.64037223991113,2.0605074108581345,1429.0,,1,0,3.4063856602716713,,0,0,0,1,0.016927920912745975
2025-07-17,1490.25,1490.35,1474.0,1477.1,186828.0,,,,6.307356886684374,3.081105201921274,1443.8899999999999,,1,0,0.016927920912745975,,0,0,0,1,0.5856069325028912
2025-07-16,1472.0,1490.9,1472.0,1485.75,130747.0,,,,7.794901269473712,4.170015478788767,1456.1399999999999,,1,0,0.5856069325028912,,0,0,0,0,-0.05721016321722505
2025-07-15,1485.1,1496.05,1482.2,1484.9,892769.0,,,,8.692935435922209,5.183412104329848,1470.56,,1,0,-0.05721016321722505,,0,0,0,0,-0.02020338069904648
2025-07-14,1494.45,1499.95,1479.35,1484.6,2020839.0,,,,9.203975224442274,6.063088341769792,1481.84,,1,0,-0.02020338069904648,,0,0,0,1,0.6904216624006532
2025-07-11,1512.2,1513.95,1490.1,1494.85,344599.0,,,,10.016468074163868,6.912108509943836,1485.44,,1,0,0.6904216624006532,,0,0,0,1,1.4951332909656667
2025-07-10,1519.05,1524.85,1507.4,1517.2,458958.0,,,,11.748672815511554,7.935693553952643,1493.4599999999998,,1,0,1.4951332909656667,,0,0,0,1,0.12193514368572522
2025-07-09,1531.05,1551.0,1510.0,1519.05,548141.0,,,91.83867894569697,12.99987932064414,8.995124994813253,1500.12,,1,0,0.12193514368572522,,0,1,0,1,1.3001547019518833
2025-07-08,1535.0,1545.6,1530.25,1538.8,1461338.0,,,92.7483069977426,14.949607732573211,10.229450510591112,1510.9,,1,0,1.3001547019518833,,0,1,0,1,0.15596568754874252
2025-07-07,1525.25,1544.5,1525.25,1541.2,392104.0,,,92.64874141876425,16.38670851808115,11.496568307321557,1522.2199999999998,,1,0,0.15596568754874252,,0,1,0,0,-0.8954061770049315
2025-07-04,1521.0,1529.5,1517.25,1527.4,487883.0,,,85.03229429935408,16.425333668248868,12.505029916135376,1528.73,,0,0,-0.8954061770049315,,0,1,0,0,-0.5532277072148761
2025-07-03,1518.75,1531.7,1512.7,1518.95,168578.0,,,78.68205283935617,15.720501986755153,13.159921813886044,1529.0800000000002,,0,0,-0.5532277072148761,,0,1,0,0,-0.04608446624313478
2025-07-02,1529.9,1530.0,1508.95,1518.25,284423.0,,,84.31500162707447,14.942716191824047,13.52169438163787,1528.92,,0,0,-0.04608446624313478,,0,1,0,1,0.6619463197760522
2025-07-01,1500.65,1531.2,1500.65,1528.3,2842857.0,1478.0375,,83.74915711395812,14.818025108326992,13.783984526459813,1526.8200000000002,1478.0375,1,1,0.6619463197760522,768636.9,1,1,0,0,-1.809199764444147
2025-06-30,1516.05,1524.95,1496.4,1500.65,439730.0,1483.7050000000002,,59.34799685781624,12.714780920186511,13.568153111770227,1518.71,1483.7050000000002,0,1,-1.809199764444147,763879.2,0,0,0,1,1.0262219704794573
2025-06-27,1498.05,1521.7,1497.1,1516.05,340711.0,1489.9025,,63.671463671463684,11.967900283277231,13.24572343497982,1516.44,1489.9025,0,1,1.0262219704794573,761643.05,0,0,0,0,-1.3752844563173938
