,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MA_5,MA_20,Above_MA5,Above_MA20,Price_Change,Volume_MA,High_Volume,RSI_Overbought,RSI_Oversold,Tomorrow_Up,Tomorrow_Change
2025-07-28,3113.0,3113.05,3070.0,3079.05,224281.0,,,,0.0,0.0,,,0,0,,,0,0,0,1,
2025-07-25,3149.95,3157.25,3127.0,3134.3501,101533.0,,,,1.2407073717945425,0.6892818732191901,,,0,0,1.7960117568730505,,0,0,0,1,0.5040853604707296
2025-07-24,3165.0,3174.3,3140.0,3150.1499,142183.0,,,,2.070858308339212,1.255501723678215,,,0,0,0.5040853604707296,,0,0,0,1,0.9269463653142518
2025-07-23,3169.0,3182.95,3159.0,3179.3501,78657.0,,,,3.451937847973113,1.999551901284888,,,0,0,0.9269463653142518,,0,0,0,0,-0.616481336861896
2025-07-22,3160.8999,3179.6499,3154.25,3159.75,127085.0,,,,3.3497907441765165,2.401217430464929,3140.53002,,1,0,-0.616481336861896,,0,0,0,0,-0.04272806392910944
2025-07-21,3221.7,3221.7,3152.5,3158.3999,66767.0,,,,3.1676904859095885,2.6089742435679355,3156.4,,1,0,-0.04272806392910944,,0,0,0,1,0.9957637093390259
2025-07-18,3213.05,3227.95,3186.8999,3189.8501,95407.0,,,,4.421092507980575,3.0675730333745066,3167.5,,1,0,0.9957637093390259,,0,0,0,1,0.5846638373383062
2025-07-17,3230.0,3242.05,3204.0,3208.5,92023.0,,,,6.077437423624815,3.79090004686406,3179.17002,,1,0,0.5846638373383062,,0,0,0,1,0.7464547296244239
2025-07-16,3225.0,3245.0,3220.3501,3232.45,124256.0,,,,8.32020100796035,4.837191038855239,3189.79,,1,0,0.7464547296244239,,0,0,0,1,0.6295534347012355
2025-07-15,3210.0,3259.8,3208.3999,3252.8,236281.0,,,,10.838322992373833,6.181792961675221,3208.4,,1,0,0.6295534347012355,,0,0,0,0,-0.9099852434825473
2025-07-14,3281.3999,3281.3999,3200.5,3223.2,191459.0,,,,10.929002404049244,7.220455262415365,3221.3600199999996,,1,0,-0.9099852434825473,,0,0,0,1,1.3092547778605246
