,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal
2025-07-28,2006.5,2021.0,2000.15,2008.05,325983.0,,,,0.0,0.0
2025-07-25,2014.0,2015.0,1999.05,2004.5,193019.0,,,,-0.07964743589741374,-0.04424857549856319
2025-07-24,2033.05,2035.0,2009.0,2014.0,216771.0,,,,0.19310778924977967,0.05302862316879042
2025-07-23,2014.15,2029.7,2002.55,2024.6,138987.0,,,,0.695138593674983,0.2705455508470399
2025-07-22,2010.05,2017.8,2002.9,2006.75,1954937.0,,,,0.24300762599273185,0.26235364078804774
2025-07-21,1976.95,2002.3,1976.95,2000.2,1122204.0,,,,-0.31343397244745574,0.106283184429218
2025-07-18,1990.0,1997.75,1953.0,1957.4,388697.0,,,,-2.6037987227914527,-0.5795662478819362
2025-07-17,2000.05,2003.0,1983.05,1986.6,1075894.0,,,,-2.7089465668666435,-1.0912963815397352
2025-07-16,2014.2,2021.9,1993.0,1996.2,504767.0,,,,-2.264250749644134,-1.3622546596284781
2025-07-15,1976.95,2003.0,1974.6,1995.3,1246105.0,,,,-1.9622115993231546,-1.4966798415726392
2025-07-14,1983.55,1989.1,1970.55,1983.0,104678.0,,,,-2.3717244396345905,-1.6881345996796977
2025-07-11,1997.0,2004.85,1982.0,1983.55,101211.0,,,,-2.6094798644573984,-1.886000922825493
2025-07-10,2013.05,2016.75,2000.3,2006.45,234993.0,,,,-1.4576108163516892,-1.7953386927207169
2025-07-09,1999.95,2013.25,1998.15,2010.6,691541.0,,,50.74801994719858,-0.3359720561152244,-1.4900381034864194
2025-07-08,1978.0,2005.6,1978.0,2001.5,1464788.0,,,48.17599554441661,-0.02580992285265893,-1.186513131818242
2025-07-07,1989.2,1998.1,1983.65,1987.25,210348.0,,,45.46649145860708,-0.6543942026057721,-1.0770070230337696
2025-07-04,1987.0,2004.25,1979.2,1989.25,388857.0,,,43.228454172366604,-1.0018872591758736,-1.0616369673775605
2025-07-03,1991.15,2007.9,1984.0,1985.65,286447.0,,,38.91891891891894,-1.4826908830441425,-1.1473925864064916
2025-07-02,2020.0,2020.0,1977.4,1985.7,193979.0,,,43.33649889205444,-1.830951306226325,-1.2861033633410657
2025-07-01,2003.1,2015.35,2003.1,2011.95,2209210.0,1996.925,,53.30706445257529,-0.3661882570868329,-1.0999744214933598
2025-06-30,2008.05,2013.95,1995.0,2000.7,211947.0,1996.5574999999997,,64.81861738535252,0.025624593427437503,-0.8727589254567159
2025-06-27,2014.0,2019.8,1993.05,2014.4,234541.0,1997.0524999999998,,60.64318529862182,1.2476100014828262,-0.44553276742931736
2025-06-26,1980.0,2027.4,1980.0,2023.0,346092.0,1997.5024999999998,,60.33950617283952,2.764793392868569,0.20034505435227257
2025-06-25,1972.35,1982.0,1962.9,1980.2,126857.0,1995.2825,,45.59766763848398,0.9681552269837539,0.35463570587996335
2025-06-24,1960.2,1978.85,1955.25,1960.5,2465329.0,1992.97,,43.711570709893785,-1.8096193832445806,-0.07985677813982044
2025-06-23,1946.4,1957.5,1942.1,1947.8,231653.0,1990.35,,40.643810520806056,-4.842518765816521,-1.035276755372792
2025-06-20,1934.5,1969.15,1931.8,1965.7,321963.0,1990.765,,39.048642837946765,-5.880200168935062,-2.0066099777091093
2025-06-19,1930.25,1946.0,1927.0,1934.8,152720.0,1988.175,,32.18984962406016,-8.830269411258996,-3.3739867557665018
2025-06-18,1921.9,1935.7,1918.5,1933.9,195382.0,1985.06,,33.479960899315756,-11.094197722356512,-4.920421941627925
2025-06-17,1941.95,1941.95,1919.55,1929.6,1206170.0,1981.775,,35.19136912406883,-13.045106573518979,-6.547372935783756
2025-06-16,1920.05,1938.75,1920.05,1935.05,306900.0,1979.3775,,36.32004038364463,-14.019084234411139,-8.043196587501368
2025-06-13,1910.0,1932.55,1910.0,1917.25,199742.0,1976.0625,,33.89072067828543,-15.928184888197848,-9.62144466459206
2025-06-12,1950.0,1961.0,1935.15,1941.95,165128.0,1972.8375,,40.76809453471198,-15.407295051021265,-10.779348650719411
2025-06-11,1966.0,1966.1,1947.0,1949.6,140662.0,1969.7875,,35.72246393405081,-14.252634779854816,-11.47435828830019
2025-06-10,1983.0,1983.0,1961.1,1965.9,331697.0,1968.0075000000002,,42.21128021486126,-11.96540484199545,-11.572607453635534
2025-06-09,1987.05,1993.95,1976.35,1978.6,577180.0,1967.575,,41.95143884892082,-9.083473211370574,-11.074618998689404
2025-06-06,1945.9,1996.3,1942.3,1978.7,957699.0,1967.0475000000001,,39.64469378214122,-6.716688788461397,-10.202806621210364
2025-06-05,1950.0,1959.45,1940.8,1950.9,214433.0,1965.3100000000002,,42.63448969331325,-6.895802140975093,-9.541268329035459
2025-06-04,1917.05,1943.55,1917.05,1940.8,173475.0,1963.0649999999998,,44.79661912308505,-7.725634441433613,-9.178081206703752
2025-06-03,1937.0,1952.3,1920.0,1925.25,1315192.0,1958.73,,44.13218839448349,-9.474348441907978,-9.237342530925718
2025-06-02,1934.75,1935.7,1908.0,1932.85,257416.0,1955.3375,,40.96783062963978,-10.152094894772063,-9.420312460395198
2025-05-30,1925.1,1948.6,1925.1,1944.6,341757.0,1951.8475000000003,,53.0116779348494,-9.663092473513643,-9.468872594058194
2025-05-29,1939.85,1940.75,1907.1,1928.9,285377.0,1947.1425,,48.59154929577464,-10.379642891553203,-9.651039051163837
2025-05-28,1922.0,1934.25,1918.0,1923.8,134589.0,1944.3224999999998,,48.373527762198556,-11.21590652210557,-9.964029586177794
2025-05-27,1933.95,1948.2,1916.05,1926.65,1156817.0,1942.6299999999999,,47.609561752988085,-11.521545202801462,-10.275546277968093
2025-05-26,1933.0,1949.9,1927.05,1939.95,338479.0,1942.2375,,56.629672897196265,-10.596528127439115,-10.339744884857257
2025-05-23,1920.25,1936.95,1914.85,1933.55,290510.0,1940.6299999999999,,47.25310660562456,-10.248715282332114,-10.321538456831087
2025-05-22,1915.0,1923.95,1905.55,1920.25,123260.0,1939.9025000000001,,40.74424471775469,-10.895606330195506,-10.436354591989346
2025-05-21,1925.65,1946.65,1921.35,1926.6,209057.0,1939.5375,,36.776581426648654,-10.781908434849356,-10.505466593560659
2025-05-20,1928.0,1935.8,1912.95,1914.35,344099.0,1938.775,1968.092,28.31589605129936,-11.527477500265604,-10.709871692268703
2025-05-19,1941.65,1945.0,1931.25,1938.7,312335.0,1938.9575,1966.705,38.399071925754065,-10.072808920213674,-10.582457683046892
2025-05-16,1930.3,1943.15,1928.1,1933.65,641133.0,1939.7774999999997,1965.2879999999998,44.23655195456065,-9.214332609800522,-10.308830168978494
2025-05-15,1910.65,1944.1,1897.0,1933.75,254933.0,1939.3674999999998,1963.683,47.47583243823846,-8.428779390454338,-9.932817265556292
2025-05-14,1923.95,1930.2,1903.15,1910.8,165682.0,1937.4275000000002,1961.4070000000002,45.086705202312125,-9.521306692184908,-9.850514669740502
2025-05-13,1944.05,1962.3,1920.5,1923.1,538724.0,1935.2875,1959.7340000000002,46.787479406919275,-9.300384616341717,-9.740488144488115
2025-05-12,1920.0,1960.0,1914.0,1957.55,327403.0,1934.2350000000001,1958.8809999999999,53.7116652335913,-6.307276924344251,-9.053843331416093
2025-05-09,1905.15,1919.0,1886.45,1889.2,107594.0,1929.7599999999998,1957.517,41.25935711140466,-9.280052137848543,-9.099085228118609
2025-05-08,1955.0,1955.0,1918.1,1926.3,331040.0,1928.53,1956.3109999999997,50.48243921265921,-8.57497378680614,-8.994262688855999
2025-05-07,1930.6,1948.65,1922.3,1944.65,123501.0,1928.7225000000003,1955.28,53.27749453750911,-6.475453850322538,-8.49049995613163
2025-05-06,1935.95,1939.45,1924.0,1930.55,172594.0,1928.9875,1953.985,48.29339143064632,-5.871309622741819,-7.966661086672936
2025-05-05,1938.8,1952.0,1933.0,1936.15,268311.0,1929.1525000000001,1953.0479999999998,50.473415877640235,-4.888105954666571,-7.350949305411216
2025-05-02,1930.0,1941.85,1920.6,1924.55,205709.0,1928.15,1951.8680000000002,50.787834371564664,-4.980175374384089,-6.876794054155674
2025-04-30,1914.45,1936.4,1910.2,1923.75,233615.0,1927.8925000000004,1950.214,49.46699083598281,-5.058834342173668,-6.513201826471097
2025-04-29,1924.85,1929.0,1900.0,1908.25,280226.0,1927.1150000000002,1948.1670000000001,48.872875092387304,-6.290868991376556,-6.468735231540056
2025-04-28,1910.0,1929.45,1909.95,1919.4,327548.0,1926.7524999999998,1946.525,46.25097125097126,-6.300389325542483,-6.435066033432943
2025-04-25,1922.05,1933.0,1891.9,1910.35,338662.0,1925.2725000000003,1944.987,45.54322876817137,-6.953743451992068,-6.538801558818909
2025-04-24,1911.95,1924.0,1903.55,1916.35,282082.0,1924.4125,1943.529,46.7452300785634,-6.910210640361356,-6.6130833990006614
2025-04-23,1969.3,1977.95,1920.2,1923.1,1208335.0,1924.5549999999998,1942.2779999999998,52.44922341696533,-6.261502850720262,-6.542767271265595
2025-04-22,1940.0,1970.65,1935.2,1961.9,890620.0,1926.3200000000002,1941.802,56.9884726224784,-2.6009327135491276,-5.7544001975646
2025-04-21,1922.05,1950.0,1911.6,1927.55,494637.0,1926.98,1940.114,44.59459459459462,-2.431990921024635,-5.089918232915797
2025-04-17,1879.05,1919.35,1877.75,1906.55,408716.0,1925.3725,1938.231,53.769280903758386,-3.9405233340080486,-4.86003922287289
2025-04-16,1882.0,1882.05,1861.0,1877.9,358007.0,1922.5850000000003,1935.5009999999997,39.08434821831311,-7.354572182310449,-5.358945867301403
2025-04-15,1870.15,1875.9,1854.45,1864.9,1027801.0,1919.1425000000004,1932.339,31.569216547261448,-10.978955223730736,-6.482947833284246
2025-04-11,1774.0,1818.95,1774.0,1806.6,344590.0,1913.9325000000001,1928.8669999999997,26.21377854538484,-18.329455132945668,-8.852249452907142
2025-04-09,1767.75,1773.4,1753.45,1765.5,280853.0,1906.0525000000002,1924.9669999999999,21.17885492315493,-27.14833941727852,-12.51146764308607
2025-04-08,1764.1,1782.0,1750.6,1769.1,507374.0,1896.6299999999999,1921.3929999999998,23.016837354625963,-33.46154904323521,-16.70148410385609
2025-04-07,1760.0,1779.6,1738.05,1758.15,784420.0,1890.0775,1917.2419999999997,22.23340040241453,-38.89749019142937,-21.140685474561952
2025-04-04,1808.0,1842.2,1807.95,1817.0,262330.0,1884.6125,1914.8859999999997,36.641780120041,-38.029041780530406,-24.51835682900297
2025-04-03,1779.05,1803.85,1776.7,1793.7,219013.0,1877.0649999999998,1912.082,32.23070398642918,-38.76986172917327,-27.3686578719876
