,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal
2025-07-28,2415.1,2448.0,2412.5,2442.25,15955.0,,,,0.0,0.0
2025-07-25,2430.0,2430.0,2406.0,2415.1,23862.0,,,,-0.6091346153843915,-0.3384081196579953
2025-07-24,2451.75,2464.95,2420.4,2436.7,42475.0,,,,-0.10634369767649332,-0.24329974999344528
2025-07-23,2480.75,2484.0,2441.25,2451.35,26278.0,,,,0.6538743523792618,0.060621016392973084
2025-07-22,2474.15,2484.45,2454.0,2480.75,8194.0,,,,2.2230934305425762,0.7039076698168197
2025-07-21,2490.95,2492.85,2456.9,2464.7,30541.0,,,,2.4383127444857564,1.174027876108816
2025-07-18,2510.0,2512.3501,2481.1001,2488.8999,33193.0,,,,3.6306321488659705,1.7957288813052095
2025-07-17,2510.6499,2525.0,2506.6001,2510.3,17694.0,,,,5.389527831840951,2.6593863505231923
2025-07-16,2526.3,2533.3501,2508.25,2516.6499,13585.0,,,,6.840567706118236,3.625259986613316
2025-07-15,2512.1001,2529.8999,2510.75,2526.3,28431.0,,,,8.267444287141643,4.665378748360484
2025-07-14,2500.0,2532.1001,2492.6001,2516.25,335646.0,,,,8.647164338409766,5.536570683794939
2025-07-11,2460.0,2530.0,2460.0,2520.1001,443416.0,,,,9.019402783146688,6.2845369543972565
2025-07-10,2422.6499,2430.8999,2398.6499,2409.05,22387.0,,,,2.9028019059001053,5.568844326376719
2025-07-09,2386.75,2439.7,2386.75,2422.6499,101893.0,,,46.82846380955863,-0.9250585471304476,4.210315000035825
2025-07-08,2400.05,2417.0,2386.1001,2393.0,50117.0,,,42.728480732319525,-5.559510507154755,2.1850937609598553
2025-07-07,2344.8,2415.0,2343.0,2410.3,219303.0,,,49.27007299270077,-7.956987753747853,0.09792899256066744
2025-07-04,2321.45,2341.0,2312.2,2339.8,19062.0,,,37.172359015091416,-14.049513675809976,-2.7967417310750924
2025-07-03,2296.3999,2326.0,2296.3999,2312.2,79939.0,,,32.18993984385003,-20.2831049177571,-6.358171381395857
2025-07-02,2290.1499,2308.8999,2287.0,2306.95,50905.0,,,26.28922237380631,-25.163752490118895,-10.174283575802006
2025-07-01,2295.75,2302.25,2288.0,2296.2,31504.0,2432.9749899999997,,26.674972314507244,-29.322572457664137,-14.048609286451017
2025-06-30,2308.0,2316.8999,2288.0,2294.75,99915.0,2425.5999899999997,,21.317795444587006,-32.2802774241095,-17.728887489044357
2025-06-27,2289.8999,2309.55,2280.0,2306.1499,21716.0,2420.152485,,18.922185697118465,-33.42086986636696,-20.890613383874136
2025-06-26,2297.5,2297.5,2271.0,2280.2,43709.0,2412.327485,,16.032183890873142,-35.67222713873116,-23.86449080868943
2025-06-25,2284.8,2290.6499,2271.2,2278.05,33958.0,2403.662485,,13.551586287820427,-37.14756530810337,-26.533710743326957
2025-06-24,2291.8,2302.55,2259.3501,2262.95,584907.0,2392.772485,,13.353566755536278,-38.907585159238806,-29.017870516791167
2025-06-23,2258.05,2288.45,2258.05,2273.05,19202.0,2383.189985,,14.892665817250972,-39.11251847513631,-31.04292044632475
2025-06-20,2291.05,2313.75,2291.05,2304.8999,35867.0,2373.9899849999997,,30.900368421728203,-36.55756631658096,-32.14852280284604
2025-06-19,2297.7,2308.0,2290.1001,2294.2,46597.0,2363.184985,,26.19089192009625,-34.90439172257311,-32.70076477812359
2025-06-18,2320.6499,2331.3999,2286.0,2297.3501,53137.0,2352.219995,,30.33915355291299,-32.98153629364015,-32.75700611047338
2025-06-17,2324.95,2334.1001,2313.8,2328.8501,448350.0,2342.3475000000003,,34.18139543374883,-28.809794290236823,-31.966585252798463
2025-06-16,2319.1001,2336.1001,2313.0,2325.8501,203337.0,2332.827505,,46.3280015709422,-25.437159232692466,-30.65940548063446
2025-06-13,2329.8,2329.8,2301.3,2319.1001,64783.0,2322.777505,,52.040246079679704,-23.004578084358855,-29.1272260837968
2025-06-12,2380.05,2385.0,2325.0,2334.3501,148758.0,2319.04251,,57.64939863104189,-19.70820127986235,-27.242226362495842
2025-06-11,2395.3501,2402.0,2371.05,2376.1499,72293.0,2316.71751,,69.02214851807881,-13.791047773727769,-24.550625841135638
2025-06-10,2399.0,2402.0,2379.55,2395.3501,279785.0,2316.8350149999997,,72.07113480184483,-7.5675771057494785,-21.15263770631483
2025-06-09,2389.45,2397.8999,2379.3,2392.6001,81840.0,2315.9500199999998,,69.71500088027447,-2.8191182231016683,-17.484743509952626
2025-06-06,2370.75,2396.2,2370.75,2388.8501,72210.0,2318.402525,,77.56918425231378,0.6451215530905756,-13.857828896476303
2025-06-05,2363.0,2379.8,2348.7,2377.1001,36903.0,2321.64753,,73.96567818324604,2.4573623352707727,-10.594112802814077
2025-06-04,2352.1499,2367.25,2343.0,2362.95,47786.0,2324.44753,,74.30724355858037,2.770238841155333,-7.920798293459275
2025-06-03,2369.95,2374.2,2342.45,2352.1499,213842.0,2327.245025,,69.16178819680795,2.1583018532905953,-5.904710280046362
2025-06-02,2342.25,2383.9,2342.25,2372.95,43839.0,2331.155025,,67.41745469548799,3.2485924172574414,-4.073855050663432
2025-05-30,2357.5,2375.0,2342.95,2349.35,65611.0,2333.3150299999998,,63.241271085193596,2.250840802879793,-2.8088082616758814
2025-05-29,2364.05,2375.45,2356.0,2367.7,94160.0,2337.69003,,65.74173317288,2.8582821185068497,-1.6753130439522192
2025-05-28,2390.0,2390.0,2352.5,2361.75,28547.0,2341.87503,,58.31224106279776,2.841362798616501,-0.771928690515911
2025-05-27,2393.75,2407.9,2360.7,2381.0,77765.0,2347.7775300000003,,62.87644705610965,4.2866861561001315,0.23983834747705238
2025-05-26,2359.1,2397.0,2359.1,2393.75,23017.0,2353.81253,,66.95430349175085,6.359212871671389,1.4637558996182232
2025-05-23,2333.95,2364.5,2329.65,2357.75,38131.0,2356.455035,,54.85676024479835,5.109142328177768,2.1928535096051633
2025-05-22,2354.0,2362.35,2313.5,2331.05,54923.0,2358.2975349999997,,40.01333035135003,1.990868534018773,2.1524556135846997
2025-05-21,2343.55,2375.85,2343.55,2363.3,31371.0,2361.59503,,43.29075575789522,2.0436306671172133,2.1306902359838906
2025-05-20,2385.1,2394.85,2338.65,2341.7,86719.0,2362.2375249999996,2376.494006,40.12416749223801,0.3725875277846171,1.7790646757763406
2025-05-19,2380.95,2404.6,2378.8,2383.95,42908.0,2365.1425200000003,2375.3280059999997,49.17284013554337,2.3681383498601463,1.8968807558149288
2025-05-16,2355.45,2386.0,2349.1,2381.0,18080.0,2368.237515,2374.646006,50.67847876289619,3.6727811815057976,2.252064085334463
2025-05-15,2351.5,2369.0,2340.1,2355.15,78626.0,2369.2775100000003,2373.015006,48.696089136683995,2.6230135668333787,2.3262545237814822
2025-05-14,2362.15,2368.9,2338.85,2351.15,64530.0,2368.0275149999998,2371.011006,49.8289600311461,1.456324476557711,2.1522674972074314
2025-05-13,2370.1,2398.8,2353.0,2360.5,210607.0,2366.28501,2368.606006,47.78351433149371,1.2616256383566906,1.9741382923616846
2025-05-12,2352.35,2387.0,2348.0,2382.95,305779.0,2365.802505,2366.9710059999998,56.006435466571325,2.863240353209221,2.151959369838829
2025-05-09,2324.1,2340.0,2302.0,2333.95,83143.0,2363.0575,2363.8720080000003,44.5625906234896,0.22150129720557743,1.765866599676537
2025-05-08,2369.95,2369.95,2341.0,2355.25,105168.0,2361.964995,2360.771008,49.00214921707092,-0.1694788517802408,1.3787965825366264
2025-05-07,2371.0,2387.0,2355.05,2369.95,30357.0,2362.3149949999997,2357.83701,48.27962011521093,0.6872051250384175,1.2404780260712711
2025-05-06,2346.0,2389.0,2341.75,2381.35,29903.0,2363.775,2354.93801,48.06128830519072,2.2515215125486066,1.44268703325114
2025-05-05,2323.9,2354.75,2318.25,2348.55,45802.0,2362.555,2351.58401,48.54706253948202,0.8569925113670251,1.3255479852622623
2025-05-02,2331.0,2343.55,2308.0,2323.15,48106.0,2361.245,2347.645008,48.74722486520773,-2.2555128854996838,0.6093351086503276
2025-04-30,2322.0,2352.05,2315.45,2341.25,100266.0,2359.9224999999997,2346.289008,46.339033704134124,-3.2347472120945895,-0.1594819587415241
2025-04-29,2334.8,2334.8,2312.6,2322.55,63845.0,2357.9625,2344.28701,46.789606035205416,-5.446653042527032,-1.216916839261258
2025-04-28,2340.0,2349.0,2315.1,2319.45,60213.0,2354.8849999999998,2342.8160100000005,37.553068313392494,-7.363094302609625,-2.4461529492141403
2025-04-25,2326.05,2339.45,2294.3,2331.6,109709.0,2351.7774999999997,2341.24201,40.79388743943344,-7.816847259754013,-3.5202922428409384
2025-04-24,2422.15,2486.5,2316.8,2325.25,238400.0,2350.1524999999997,2340.9510099999998,43.99115755627007,-8.587008026549029,-4.533635725258596
2025-04-23,2418.95,2438.0,2393.05,2422.15,82343.0,2354.7075,2343.1500100000003,60.38923031899328,-1.4008488989347825,-3.907078198899573
2025-04-22,2365.0,2407.0,2354.9,2399.1,66805.0,2356.4975,2344.99301,55.43050084411929,2.4146539142134316,-2.6427315162159437
2025-04-21,2370.65,2370.65,2347.8,2350.0,49514.0,2356.9125,2346.0690099999997,45.687737207171864,1.4761417701074606,-1.8189567233987454
2025-04-17,2356.4,2379.5,2344.0,2374.65,47106.0,2356.4474999999998,2347.66701,55.689124965054546,2.6826881694773874,-0.9186276263038682
2025-04-16,2374.7,2375.0,2353.7,2367.15,55654.0,2355.755,2348.887012,51.730154114568194,3.001241822899374,-0.1346536539011242
