,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal
2025-07-28,1474.2,1493.6,1474.2,1488.65,214482.0,,,,0.0,0.0
2025-07-25,1489.4,1493.7,1473.7,1476.6,139875.0,,,,-0.2703525641027227,-0.15019586894595705
2025-07-24,1488.5,1488.5,1476.8,1482.7,149203.0,,,,-0.155322193096481,-0.15229682146666357
2025-07-23,1482.0,1489.95,1472.5,1487.75,1250566.0,,,,0.08313075381943236,-0.07254493281961212
2025-07-22,1471.15,1482.0,1470.15,1473.55,1748643.0,,,,-0.35409827337684874,-0.15630068619813323
2025-07-21,1440.65,1467.6,1436.35,1465.85,672553.0,,,,-0.9395328521634383,-0.3686001500407543
2025-07-18,1417.0,1428.65,1408.35,1426.5,252066.0,,,,-3.0814159342910443,-1.0551414536949026
2025-07-17,1420.95,1421.0,1409.3,1419.05,1383862.0,,,,-4.822389795496974,-1.9604820733507102
2025-07-16,1423.05,1429.15,1419.0,1425.05,618589.0,,,,-5.656924899280057,-2.8143787042878112
2025-07-15,1422.0,1433.8,1419.9,1431.45,1004368.0,,,,-5.8369600733153675,-3.4916123915576596
2025-07-14,1424.0,1424.7,1416.0,1422.75,1956057.0,,,,-6.348695248201693,-4.1167257954025684
2025-07-11,1423.6,1427.95,1414.55,1422.2,306304.0,,,,-6.667713121369616,-4.664570888742696
2025-07-10,1433.0,1438.65,1422.25,1424.5,182834.0,,,,-6.685932675749427,-5.092361271128223
2025-07-09,1439.95,1439.95,1426.6,1432.0,189258.0,,,27.036886907174747,-6.178062661930198,-5.3194908121429005
2025-07-08,1437.95,1445.4,1430.5,1442.15,780989.0,,,32.584269662921415,-5.113908738951295,-5.276874986436036
2025-07-07,1439.65,1440.45,1429.55,1435.55,124398.0,,,33.97110503709496,-4.642446865246484,-5.1463144086386405
2025-07-04,1426.0,1444.0,1421.1,1442.65,332715.0,,,34.48275862068972,-3.7858987602865,-4.867963370817157
2025-07-03,1431.3,1446.4,1424.15,1426.2,199977.0,,,28.08828764684951,-4.120615107027561,-4.715751716663528
2025-07-02,1434.05,1451.0,1422.65,1428.15,369686.0,,,32.293291731669385,-4.202637700301693,-4.6116283373519025
2025-07-01,1445.8,1448.45,1429.95,1432.0,1379334.0,1444.2649999999999,,36.38922396461608,-3.9641823273298087,-4.480628813667999
2025-06-30,1461.75,1461.8,1442.5,1445.8,120994.0,1442.1225,,59.76720647773273,-2.8194347264354747,-4.1452971071363995
2025-06-27,1438.0,1465.4,1438.0,1461.75,332569.0,1441.3799999999999,,69.89748369058708,-0.8296976476899545,-3.4772478820133164
2025-06-26,1423.95,1447.5,1423.2,1439.25,141157.0,1439.2075,,55.73505654281099,-0.8053305675095999,-2.9396912448048265
2025-06-25,1423.95,1428.95,1416.4,1425.8,109944.0,1436.1100000000001,,47.84103935804353,-1.7015455611485777,-2.690887164021685
2025-06-24,1426.25,1436.2,1416.4,1423.9,894111.0,1433.6275,,50.463522773075404,-2.510528023132565,-2.6546785435432705
2025-06-23,1413.9,1423.0,1412.25,1419.6,125255.0,1431.315,,48.98278560250386,-3.4127895351043662,-2.8067603810054957
2025-06-20,1411.35,1433.45,1410.85,1427.35,375267.0,1431.3575,,51.06941838649152,-3.5265633067556337,-2.9510698851266186
2025-06-19,1409.95,1414.9,1405.1,1411.35,35529.0,1430.9724999999999,,42.71604938271604,-4.718247112001336,-3.3051902990000963
2025-06-18,1417.5,1431.8,1410.3,1412.25,92690.0,1430.3325,,38.716981132075475,-5.528289841870901,-3.750499289861308
2025-06-17,1427.2,1429.8,1417.6,1423.05,1503939.0,1429.9125,,45.42794440380396,-5.312091838044125,-4.063204910305929
2025-06-16,1416.5,1429.0,1414.15,1426.85,310588.0,1430.1174999999998,,44.07796101949019,-4.803766889167036,-4.211464134902408
2025-06-13,1401.05,1421.3,1401.05,1416.2,151569.0,1429.8175,,46.08150470219435,-5.134969030324328,-4.396311565209278
2025-06-12,1431.0,1436.45,1419.6,1425.3,106064.0,1429.8575,,48.94248608534318,-4.660655042213648,-4.449213791379531
2025-06-11,1423.0,1434.4,1418.35,1430.85,170309.0,1429.8,,49.578600219860725,-3.8227751106844607,-4.323862494581867
2025-06-10,1440.0,1440.9,1416.5,1422.9,1207271.0,1428.8375,,41.23277182235837,-3.718467316437909,-4.202734323529479
2025-06-09,1467.45,1467.5,1434.0,1434.95,583251.0,1428.8075000000001,,39.42383583267559,-2.687897650970399,-3.8996686385799197
2025-06-06,1447.1,1461.95,1442.8,1459.5,418246.0,1429.65,,57.86407766990295,0.0036039704966697172,-3.118811394633867
2025-06-05,1430.35,1458.5,1428.0,1454.75,269650.0,1431.0774999999999,,62.057476051645224,1.749425241973313,-2.1449618066661795
2025-06-04,1441.9,1441.9,1426.0,1431.1,79054.0,1431.225,,52.53878702397736,1.2952715869091662,-1.4568007875895899
2025-06-03,1451.35,1453.95,1431.75,1438.0,1256068.0,1431.525,,56.37119113573412,1.452030055846535,-0.874957278634238
2025-06-02,1442.95,1454.85,1432.2,1451.05,330420.0,1431.7875,,57.91583166332669,2.558203786256172,-0.18825204263019227
2025-05-30,1460.25,1461.0,1444.35,1445.95,132254.0,1430.9975,,62.46397694524505,3.0028394368714544,0.45002055149740466
2025-05-29,1453.85,1463.0,1445.05,1456.65,107814.0,1431.8675,,64.9394347240916,4.141297562718137,1.1883262002202828
2025-05-28,1446.4,1458.1,1443.15,1453.75,142880.0,1433.2649999999999,,60.90973702914006,4.761157028177422,1.9029312726125818
2025-05-27,1451.0,1462.75,1435.3,1447.05,1176149.0,1434.4225000000001,,57.033426183844036,4.67303159767107,2.456975469652535
2025-05-26,1453.05,1471.1,1453.05,1460.5,325956.0,1436.4675,,65.12978142076503,5.594656217514512,3.0845334864302885
2025-05-23,1440.55,1451.15,1435.0,1449.9,118338.0,1437.595,,58.31643002028403,5.427838334701391,3.553207520809786
2025-05-22,1438.35,1444.95,1428.0,1442.0,125041.0,1439.1275,,53.71048252911817,4.619429668379098,3.7664567059393894
2025-05-21,1440.4,1451.6,1438.5,1444.95,102473.0,1440.7625,,57.59036144578311,4.1637706862952655,3.8459209196995117
2025-05-20,1451.95,1458.0,1435.4,1437.55,413537.0,1441.4875,1440.1029999999998,50.92460881934563,3.1806485393190087,3.7128645445793667
2025-05-19,1451.95,1459.7,1444.0,1448.85,436385.0,1442.5875,1439.307,45.81861012956416,3.2591871450449617,3.6221280286446214
2025-05-16,1452.3,1458.55,1446.9,1453.65,926612.0,1444.46,1438.848,49.56828885400318,3.659870233008178,3.62967653846833
2025-05-15,1426.0,1456.0,1416.0,1450.85,154401.0,1445.7375,1438.211,59.267949319568224,3.712051878705779,3.646151726908394
2025-05-14,1431.0,1439.7,1417.2,1424.95,152549.0,1445.4425,1436.955,44.802867383512584,1.6744907246848015,3.251817221181573
2025-05-13,1441.95,1447.6,1427.05,1431.1,510161.0,1445.8525,1436.106,41.59292035398231,0.5433027813257922,2.7101117997596638
2025-05-12,1418.95,1452.6,1403.05,1449.7,118233.0,1446.59,1435.783,51.4188422247446,1.1162514250581808,2.3913385321469764
2025-05-09,1412.1,1420.55,1386.8,1388.7,153783.0,1443.05,1435.0269999999998,31.378459852014288,-3.25754091202748,1.2615592617072144
2025-05-08,1440.0,1448.5,1426.2,1433.95,157481.0,1442.01,1435.325,45.59608540925269,-3.0755187491197375,0.3941415824891282
2025-05-07,1422.05,1442.0,1420.7,1435.35,205604.0,1442.2225,1435.531,47.334851936218676,-2.787250709939144,-0.24213809486623653
2025-05-06,1427.0,1433.25,1420.6,1431.65,184372.0,1441.9050000000002,1435.535,43.12276519666272,-2.822067365117391,-0.7581247396636995
2025-05-05,1437.1,1446.2,1426.4,1428.75,121482.0,1440.7900000000002,1435.655,44.766146993318465,-3.0465111945150056,-1.2158025917453747
2025-05-02,1426.4,1446.25,1425.55,1431.75,537389.0,1440.0800000000002,1435.8459999999998,47.40045650519909,-2.950142728372157,-1.562670959278236
2025-04-30,1433.05,1433.1,1415.1,1422.55,436468.0,1438.375,1435.8069999999998,44.493608652900676,-3.5695451724404847,-1.964046116844773
2025-04-29,1425.1,1438.15,1422.6,1429.45,380316.0,1437.16,1435.7559999999999,48.00394282897982,-3.467349574108539,-2.2647069970254194
2025-04-28,1406.0,1434.9,1404.8,1428.35,424025.0,1436.225,1435.48,44.68085106382979,-3.4349362676703095,-2.4987529686848275
2025-04-25,1410.0,1415.45,1388.4,1404.55,254107.0,1433.4275,1434.86,38.40340103920639,-5.257956941451084,-3.05059398493166
2025-04-24,1419.1,1420.0,1398.6,1402.25,289511.0,1431.0449999999998,1434.0520000000001,38.49431818181819,-6.808666721716918,-3.8022087738483914
2025-04-23,1429.9,1429.9,1411.65,1424.0,275815.0,1430.145,1434.0080000000003,49.77058681477902,-6.219435355177438,-4.2856542144129
2025-04-22,1414.65,1418.5,1398.65,1416.0,351103.0,1428.6975,1433.765,46.385830540928694,-6.322133053987727,-4.692950066103763
2025-04-21,1437.0,1437.0,1405.3,1409.4,679064.0,1427.29,1433.3129999999999,39.76637887252413,-6.854750707710082,-5.1253102655700955
2025-04-17,1362.25,1408.6,1361.0,1406.65,593307.0,1425.1799999999998,1432.53,56.47313379011903,-7.412365016407193,-5.5827212759512665
2025-04-16,1360.0,1360.0,1343.0,1356.75,260656.0,1420.3349999999998,1430.43,23.063503140265155,-11.730819251073854,-6.812341000469854
2025-04-15,1352.05,1353.8,1336.4,1349.4,1083765.0,1415.2625,1428.6329999999998,21.206030150753833,-15.564659802931146,-8.562804908438403
2025-04-11,1309.9,1324.95,1307.8,1311.85,158559.0,1409.6074999999998,1426.3540000000003,17.285636264336446,-21.376873844645388,-11.125618868413119
2025-04-09,1299.35,1304.85,1284.9,1300.5,121212.0,1403.0774999999999,1423.886,16.523101018011005,-26.58949640583637,-14.218394542659901
2025-04-08,1295.1,1310.0,1287.55,1299.3,307568.0,1395.5575000000001,1421.48,15.098814229249044,-30.465639482059032,-17.467843670707687
2025-04-07,1303.9,1324.8,1265.7,1287.65,980276.0,1390.5049999999999,1418.6860000000001,14.906347554630642,-34.08211784008313,-20.790698619250286
2025-04-04,1331.55,1338.0,1322.65,1334.95,294383.0,1385.5549999999998,1417.158,29.686156491831454,-32.7623558553903,-23.185030132578564
2025-04-03,1306.55,1333.0,1306.55,1329.0,253337.0,1380.2375,1415.493,29.079806275005268,-31.828529495733846,-24.913730043388973
2025-04-02,1325.0,1338.0,1323.8,1331.45,405487.0,1375.2275,1413.661,33.08653401203148,-30.539027527010376,-26.03878955999133
2025-04-01,1340.0,1352.0,1315.0,1317.6,361544.0,1369.6699999999998,1411.476,31.407862947507127,-30.28346188377077,-26.887724036746715
2025-03-28,1337.0,1357.8,1326.9,1348.4,244311.0,1365.5025,1410.12,34.0304182509506,-27.285198497731017,-26.967218929842485
2025-03-27,1332.2,1351.0,1332.2,1336.75,61933.0,1361.2125,1408.349,33.513625962138576,-25.553051361529015,-26.684385413621207
2025-03-26,1343.0,1357.75,1331.2,1335.4,175290.0,1356.5099999999998,1406.44,34.26201616333478,-24.012247187324192,-26.149957764494147
2025-03-25,1358.6,1363.55,1330.0,1344.4,548056.0,1352.3125,1404.87,37.10379117464265,-21.814395498040767,-25.282845306183233
2025-03-24,1355.0,1372.5,1343.5,1358.2,302258.0,1349.9950000000001,1403.335,50.35322777101097,-18.744323654177606,-23.975140969725235
2025-03-21,1318.65,1347.85,1312.05,1341.45,331591.0,1346.9550000000002,1400.974,48.148148148148145,-17.46003034368664,-22.672118839689368
2025-03-20,1321.95,1324.0,1311.35,1321.35,44711.0,1341.8225,1398.306,52.408722109533464,-17.856536349276894,-21.709002338751933
2025-03-19,1309.55,1316.7,1302.2,1312.7,171765.0,1336.6575,1395.9379999999999,53.1362467866324,-18.653008473349473,-21.09780356422203
2025-03-18,1281.1,1313.6,1281.1,1309.6,281272.0,1331.6675,1393.37,52.62219959266801,-19.311484296702474,-20.74053971004034
2025-03-17,1257.0,1274.0,1256.35,1268.35,211396.0,1324.7525,1389.7159999999997,45.73008849557518,-22.89509505982892,-21.17145078065205
2025-03-13,1244.9,1256.0,1244.85,1250.25,1326107.0,1319.4275000000002,1385.802,28.4806910569106,-26.884538883747837,-22.31406840265854
2025-03-12,1244.8,1251.05,1235.4,1242.6,254096.0,1314.0875,1381.521,28.236775818639828,-30.313544201022296,-23.91396356388532
2025-03-11,1214.85,1247.6,1214.85,1244.8,158616.0,1310.7350000000001,1377.342,28.14627994955866,-32.47919121505356,-25.627009095450116
2025-03-10,1212.0,1225.5,1209.8,1214.5,309353.0,1306.435,1372.691,25.989753143921803,-36.2213333387042,-27.745873945418136
2025-03-07,1214.0,1217.55,1206.45,1214.3,168190.0,1302.185,1367.767,13.579576317218894,-38.75631705110163,-29.947962567649984
2025-03-06,1225.1,1225.1,1209.05,1218.4,53981.0,1298.7225,1363.1370000000002,16.482582837723086,-39.97380441503037,-31.95313093792383
2025-03-05,1219.45,1226.2,1211.5,1215.6,212110.0,1292.7549999999999,1358.6090000000002,16.34831460674161,-40.695343559471894,-33.70157346278995
2025-03-04,1206.1,1216.0,1206.1,1210.45,157384.0,1286.8274999999999,1353.9189999999999,11.541774332472059,-41.20748852637416,-35.20275647588904
